Few;Few;---;---;---;  
Few;Few;Few;---;---;  
Few;Few;Few;Few;---;  
Few;Few;Few;Few;Few;There is little new development in this project. Few issues are created or closed, indicating low levels of support. The project may be abandoned.
Few;Few;Few;Few;Some;There is little new development in this project. Few issues are created or closed, indicating low levels of support. One of the recent forks may have taken over.
Few;Few;Few;Few;Many;There is little new development in this project, but people still fork it. Few issues are created or closed, indicating low levels of support. Do not expect new development.
Few;Few;Few;Some;---;  
Few;Few;Few;Some;Few;There is little new development in this project. Issues are being closed, but not many new issues are created. The project is in a stable maintenance phase.
Few;Few;Few;Some;Some;There is little new development in this project. Issues are being closed, but not many new issues are created. The project is in a stable maintenance phase.
Few;Few;Few;Some;Many;There is little new development in this project, but people still fork it. Issues are being closed, but not many new issues are created. The project is in a stable maintenance phase, and is still popular.
Few;Few;Few;Many;---;  
Few;Few;Few;Many;Few;There is little new development in this project. Few new issues are created, but many old are closed. Do not expect new development. The project is in a stable maintenance phase.
Few;Few;Few;Many;Some;There is little new development in this project. Few new issues are created, but many old are closed. Do not expect new development. The project is in a stable maintenance phase.
Few;Few;Few;Many;Many;There is little new development in this project, but people still fork it. Few new issues are created, but many old are closed. Do not expect new development. The project is in a stable maintenance phase, and is still popular.
Few;Few;Some;---;---;  
Few;Few;Some;Few;---;  
Few;Few;Some;Few;Few;There is little new development in this project. Some new issues are created but few are closed. The project may be abandoned.
Few;Few;Some;Few;Some;There is little new development in this project. Some new issues are created but few are closed. One of the recent forks may have taken over.
Few;Few;Some;Few;Many;There is little new development in this project, but people still fork it. Some new issues are created but few are closed. Do not expect new development.
Few;Few;Some;Some;---;  
Few;Few;Some;Some;Few;There is little new development in this project. Issues are being closed at (roughly) the same rate as they are being created. The project is in a stable maintenance phase.
Few;Few;Some;Some;Some;There is little new development in this project. Issues are being closed at (roughly) the same rate as they are being created. The project is in a stable maintenance phase.
Few;Few;Some;Some;Many;There is little new development in this project, but people still fork it. Issues are being closed at (roughly) the same rate as they are being created. The project is in a stable maintenance phase, and is still popular.
Few;Few;Some;Many;---;  
Few;Few;Some;Many;Few;There is little new development in this project. More issues are being closed than are being created. The project is in a stable maintenance phase.
Few;Few;Some;Many;Some;There is little new development in this project. More issues are being closed than are being created. The project is in a stable maintenance phase.
Few;Few;Some;Many;Many;There is little new development in this project, but people still fork it. More issues are being closed than are being created. The project is in a stable maintenance phase, and is still popular.
Few;Few;Many;---;---;  
Few;Few;Many;Few;---;  
